,Abbreviation,FullForm
1048,ex-gf ,Ex-Girl Friend
1049,exp ,experience
1050,ey ,hey
1051,eyez ,eyes
1052,ez ,Easy
1053,ezi ,easy
1054,f u ,f**k you
1055,f#cking ,f**king
1056,f&e ,forever and ever
1057,f'n ,f**king
1058,f-ing ,f**king
1059,f.b. ,facebook
1060,f.m.l. ,f**k my life
1061,f.u. ,f**k you
1062,f/o ,f**k off
1063,f00k ,f**k.
1064,f2f ,face to face
1065,f2m ,female to male
1066,f2p ,free to play
1067,f2t ,Free to talk
1068,f4c3 ,face
1069,f4eaa ,friends forever and always
1070,f4f ,female for female
1071,f4m ,female for male
1072,f8 ,fate
1073,f9 ,fine
1074,f@ ,fat
1075,fa-q ,f**k you
1076,faa ,forever and always
1077,fab ,fabulous
1078,faggit ,faggot
1079,fah ,Funny as hell
1080,faic ,For All I Care
1081,fam ,family
1082,fankle ,area between foot and ankle
1083,fao ,for attention of
1084,fap ,masturbate
1085,fapping ,masterbating
1086,faq ,frequently asked question
1087,farg ,f**k
1088,fashizzle ,for sure
1089,fav ,Favorite
1090,fave ,favorite
1091,fawk ,f**k
1092,fbgm ,f**k b***hes get money
1093,fbimcl ,Fall Back In My Chair Laughing
1094,fbk ,facebook
1095,fbtw ,Fine Be That Way
1096,fc ,fruit cake
1097,fcbk ,facebook
1098,fcfs ,first come first served
1099,fck ,f**k
1100,fckd ,f**ked
1101,fckin ,f**king
1102,fcking ,f**king
1103,fckm3hdbayb ,f**k Me Hard Baby
1104,fcku ,f**k you
1105,fcol ,for crying out loud
1106,fcuk ,f**k
1107,fe ,fatal error
1108,feat ,Featuring
1109,feck ,f**k
1110,fer ,for
1111,ferr ,For
1112,ff ,friendly fire
1113,ffa ,free for all
1114,ffcl ,falling from chair laughing
1115,ffl ,friend for life
1116,ffr ,for future reference
1117,ffs ,for f**k's sake
1118,fft ,food for thought
1119,ffxi ,Final Fantasy 11
1120,fg ,f**king gay
1121,fgi ,f**king google it
1122,fgs ,for God's sake
1123,fgssu ,For Gods sake shut up
1124,fgt ,faggot
1125,fhrihp ,f**k her right in her p***y
1126,fi ,f**k it
1127,fi9 ,fine
1128,fibijar ,"f**k it buddy, I'm just a reserve"
1129,fifo ,"first in, first out"
1130,fify ,Fixed It For You
1131,figjam ,"f**k I'm good, just ask me"
1132,figmo ,F*ck it - got my orders
1133,fiic ,f**ked If I Care
1134,fiik ,f**ked If I Know
1135,fimh ,forever in my heart
1136,finna ,fitting to
1137,fio ,figure it out
1138,fitb ,fill in the blank
1139,fiv ,five
1140,fk ,f**k
1141,fka ,formerly known as
1142,fkd ,f**ked
1143,fker ,f**ker
1144,fkin ,f**king
1145,fking ,f**king
1146,fkn ,f**king
1147,fku ,f**k you
1148,flamer ,angry poster
1149,flames ,angry comments
1150,flicks ,pictures
1151,floabt ,for lack of a better term
1152,fm ,f**k me
1153,fmah ,f**k my ass hole
1154,fmao ,freezing my ass of
1155,fmb ,f**k me b***h
1156,fmbb ,f**k Me Baby
1157,fmbo ,f**k my brains out
1158,fmfl ,f**k my f**king life
1159,fmflth ,f**k My f**king Life To Hell
1160,fmh ,f**k me hard
1161,fmhb ,f**k me hard b***h
1162,fmi ,for my information
1163,fmir ,family member in room
1164,fmita ,f**k me in the ass
1165,fml ,f**k my life
1166,fmltwia ,f**k me like the w***e I am
1167,fmn ,f**k me now
1168,fmnb ,f**k me now b***h
1169,fmnkml ,f**k me now kiss me later
1170,fmph ,f**k my p***y hard
1171,fmq ,f**k me quick
1172,fmr ,f**k me runnig
1173,fmsh ,f**k me so hard
1174,fmth ,f**k me to hell
1175,Fmu ,f**k me up
1176,fmuta ,f**k me up the ass
1177,fmutp ,f**k me up the p***y
1178,fn ,first name
1179,fnar ,For No Apparent Reason
1180,fnci ,fancy
1181,fnny ,funny
1182,fnpr ,for no particular reason
1183,fny ,funny
1184,fo ,f**k off
1185,fo shizzle ,for sure
1186,fo sho ,for sure
1187,foa ,f**k off a**h**e
1188,foad ,f**k off and die
1189,foaf ,friend of a friend
1190,foah ,f**k off a**h**e
1191,fob ,fresh off the boat
1192,focl ,Falling Off Chair Laughing.
1193,fofl ,fall on the floor laughing
1194,foia ,freedom of information act
1195,fol ,farting out loud
1196,folo ,Follow
1197,fomofo ,f**k off mother f**ker
1198,foms ,fell off my seat
1199,fone ,phone
1200,foo ,fool
1201,foobar ,f**ked up beyond all recognition
1202,foocl ,falls out of chair laughing
1203,fook ,f**k
1204,for sheeze ,for sure
1205,fos ,full of s**t
1206,foshizzle ,for sure
1207,fosho ,for sure
1208,foss ,"free, open source software"
1209,fotcl ,fell off the chair laughing
1210,fotm ,Flavour of the month
1211,fouc ,f**k off you c**t 
1212,fov ,Field of View
1213,foyb ,f**k off you b***h
1214,fo` ,for
1215,fp ,first post
1216,fpmitap ,federal pound me in the ass prison
1217,fpos ,f**king piece of s**t
1218,fps ,First Person Shooter
1219,fr ,for real
1220,frag ,kill
1221,fragged ,killed
1222,fren ,friend
1223,frens ,friends
1224,frgt ,forgot
1225,fri. ,Friday
1226,friggin ,freaking
1227,frk ,freak
1228,frm ,from
1229,frnd ,friend
1230,frnds ,friends
1231,fs ,For Sure
1232,fse ,Funniest s**t Ever
1233,fsho ,for sure
1234,fsm ,flying spaghetti monster
1235,fsob ,f**king son of a b***h
1236,fsod ,frosn screen of death
1237,fsr ,for some reason
1238,fst ,fast
1239,ft ,f**k THAT
1240,ft2t ,From time to time
1241,fta ,From The Article
1242,ftb ,f**k That b***h
1243,ftbfs ,Failed to build from source
1244,ftf ,face to face
1245,ftfa ,From The f**king Article
1246,ftfw ,For the f**king win!
1247,ftfy ,Fixed that for you
1248,ftio ,fun time is over
1249,ftk ,For the Kill
1250,ftl ,For The Lose
1251,ftlog ,for the love of god
1252,ftlt ,For the last time
1253,ftmfw ,for the mother f**king win
1254,ftmp ,For the most part
1255,ftp ,file transfer protocol
1256,ftr ,For The Record
1257,fts ,f**k that s**t
1258,fttp ,for the time being
1259,ftw ,For the win!
1260,fu ,f**k you
1261,fu2 ,f**k you too
1262,fua ,f**k you all
1263,fuah ,f**k you ass hole
1264,fub ,f**k you b***h
1265,fubah ,f**ked up beyond all hope
1266,fubalm ,f**ked up beyond all local maintenance
1267,fubar ,f**ked up beyond all recognition
1268,fubb ,f**ked up beyond belief
1269,fubh ,f**ked up beyond hope
1270,fubohic ,f**k you Bend over here it comes
1271,fubr ,f**ked Up Beyond Recognition
1272,fucken ,f**king
1273,fucktard ,f**king retard
1274,fuctard ,f**king retard
1275,fud ,"fear, uncertainty and doubt"
1276,fudh ,f**k you d**k head
1277,fudie ,f**k you and die
1278,fugly ,f**king ugly
1279,fuh-q ,f**k you
1280,fuhget ,forget
1281,fuk ,f**k
1282,fukin ,f**king
1283,fukk ,f**k
1284,fukkin ,f**king
1285,fukn ,f**king
1286,fukr ,f**ker
1287,fulla ,Full of
1288,fumfer ,f**k you mother f**ker
1289,funee ,funny
1290,funner ,more fun
1291,funy ,funny
1292,fuq ,f**k you
1293,fus ,f**k yourself
1294,fut ,f**k You Too
1295,fuu ,f**k you up
1296,fux ,f**k
1297,fuxing ,f**king
1298,fuxor ,f**ker
1299,fuxored ,f**ked
1300,fvck ,f**k
1301,fwb ,Friends with Benefits
1302,fwd ,forward
1303,fwiw ,for what it's worth
1304,fwm ,Fine With Me
1305,fwob ,friends with occasional benefits
1306,fwp ,first world problems
1307,fxe ,foxy
1308,fxp ,file exchange protocol
1309,fy ,f**k you
1310,fya ,for your attention
1311,fyad ,f**k you and die
1312,fyah ,f**k you a**h**e
1313,fyb ,f**k you b***h
1314,fyc ,f**k your couch
1315,fye ,For Your Entertainment
1316,fyeo ,For your eyes only
1317,fyf ,f**k your face
1318,fyfi ,For Your f**king Information
1319,fyi ,for your information
1320,fyk ,for your knowledge
1321,fyl ,For your Love
1322,fym ,f**k your mom
1323,fyp ,fixed your post
1324,fyrb ,f**k you right back
1325,fytd ,f**k you to death
1326,tf ,The f**k
1327,*g* ,grin
1328,g'nite ,good night
1329,G. O. A. T. ,Greatest Of All Time
1330,g/f ,girlfriend
1331,g/g ,got to go
1332,g/o ,Get out
1333,g0 ,go
1334,g00g13 ,Google
1335,g1 ,good one
1336,g2 ,go to
1337,g2/-/ ,go to hell
1338,g2bg ,got to be going
1339,g2bl8 ,going to be late
1340,g2cu ,glad to see you
1341,g2e ,got to eat
1342,g2g ,got to go
1343,g2g2tb ,got to go to the bathroom
1344,g2g2w ,got to go to work
1345,g2g4aw ,got to go for a while
1346,g2gb ,got to go bye
1347,g2gb2wn ,got to go back to work now
1348,g2ge ,got to go eat
1349,g2gn ,got to go now
1350,g2gp ,got to go pee
1351,g2gpc ,got 2 go parents coming
1352,g2gpp ,got to go pee pee
1353,g2gs ,got to go sorry
1354,g2h ,go to hell
1355,g2hb ,go to hell b***h
1356,g2k ,good to know
1357,g2p ,got to pee
1358,g2t2s ,got to talk to someone
1359,g3y ,gay
1360,g4u ,good for you
1361,g4y ,good for you
1362,g8 ,gate
1363,g9 ,good night
1364,g@y ,gay
1365,ga ,go ahead
1366,gaalma ,go away and leave me alone
1367,gaf ,good as f**k
1368,gafi ,get away from it
1369,gafl ,get a f**king life
1370,gafm ,Get away from me
1371,gagf ,go and get f**ked
1372,gagp ,go and get pissed
1373,gah ,gay ass homo
1374,gai ,gay
1375,gaj ,get a job
1376,gal ,get a life
1377,gamez ,illegally obtained games
1378,gangsta ,gangster
1379,gank ,kill
1380,gaoep ,generally accepted office etiquette principles
1381,gaw ,grandparents are watching
1382,gawd ,god
1383,gb ,Go back
1384,gb2 ,go back to
1385,gba ,game boy advance
1386,gbioua ,Go blow it out your ass
1387,gbnf ,Gone but not forgotten 
1388,gbtw ,go back to work
1389,gbu ,god bless you
1390,gby ,good bye
1391,gcad ,get cancer and die
1392,gcf ,Google Click Fraud
1393,gd ,good
1394,gd&r ,"grins, ducks, and runs"
1395,gd4u ,Good For You
1396,gday ,Good Day
1397,gdby ,good bye
1398,gded ,grounded
1399,gdgd ,good good
1400,gdi ,God Damn it
1401,gdiaf ,go die in a fire
1402,gdih ,Go die in hell
1403,gdilf ,Grandad I'd Like To f**k
1404,gdmfpos ,god damn mother f**king piece of s**t
1405,gdr ,"grinning, ducking, running"
1406,gemo ,gay emo
1407,getcha ,get you
1408,geto ,ghetto
1409,gewd ,good
1410,gey ,gay
1411,gf ,girlfriend
1412,gfad ,go f**k a duck
1413,gfadh ,go f**k a dead horse
1414,gfak ,go fly a kite
1415,gfam ,Go f**k A Monkey
1416,gfar2cu ,go find a rock to crawl under
1417,gfas ,go f**k a sheep
1418,gfd ,god f**king damnit
1419,gfe ,Girl Friend experience
1420,gfe2e ,grinning from ear to ear
1421,gfg ,good f**king game
1422,gfgi ,go f**king google it
1423,gfi ,good f**king idea
1424,gfj ,good f**king job
1425,gfl ,grounded for life
1426,gfm ,God Forgive Me
1427,gfo ,go f**k off
1428,gfu ,go f**k yourself
1429,gfurs ,go f**k yourself
1430,gfus ,go f**k yourself
1431,gfx ,graphics
1432,gfy ,good for you
1433,gfyd ,go f**k your dad
1434,gfym ,go f**k your mom
1435,gfys ,go f**k yourself
1436,gg ,good game
1437,gga ,good game all
1438,ggal ,go get a life
1439,ggf ,go get f**ked
1440,ggg ,"Go, go, go! "
1441,ggi ,go google it
1442,ggnore ,good game no rematch
1443,ggp ,gotta go pee
1444,ggpaw ,gotta go parents are watching
1445,ggs ,good games
1446,ggwp ,Good Game Well-Played
1447,gh ,good half
1448,ghei ,Gay
1449,ghey ,gay
1450,gigig ,get it got it good
1451,gigo ,garbage in garbage out
1452,gilf ,Grandma I'd like to f**k
1453,gim ,google instant messanger
1454,gimme ,give me
1455,gimmie ,give me
1456,gir ,google it retard
1457,gis ,Google Image Search
1458,gitar ,guitar
1459,giv ,give
1460,giyf ,google is your friend
1461,gj ,good job
1462,gjial ,go jump in a lake
1463,gjp ,good job partner
1464,gjsu ,god just shut up
1465,gjt ,good job team
1466,gky ,Go kill yourself
1467,gkys ,Go kill yourself
1468,gl ,good luck
1469,gl hf ,"good luck, have fun"
1470,gl&hf ,good luck and have fun
1471,gla ,good luck all
1472,glbt ,"Gay, lesbian, bisexual, transgenderd"
1473,glf ,group looking for
1474,glhf ,good luck have fun
1475,glln ,Got Laid Last Night
1476,glnhf ,Good Luck and Have Fun
1477,glty ,Good luck this year
1478,glu ,girl like us
1479,glu2 ,good luck to you too
1480,glux ,good luck
1481,glwt ,good luck with that
1482,gm ,good morning
1483,gma ,grandma
1484,gmab ,give me a break
1485,gmabj ,give me a blowjob
1486,gmafb ,give me a f**king break
1487,gmao ,Giggling my ass off
1488,gmfao ,Giggling My f**king Ass Off
1489,gmilf ,grandmother i'd like to f**k
1490,gmod ,Global Moderator
1491,gmta ,great minds think alike
1492,gmtyt ,good morning to you too
1493,gmv ,Got my vote
1494,gmybs ,give me your best shot
1495,gn ,good night
1496,gn8 ,good night
1497,gnasd ,good night and sweet dreams
1498,gndn ,"Goes nowhere,does nothing"
1499,gnfpwlbn ,good news for people who love bad news
1500,gng ,going
1501,gng2 ,going to
1502,gngbng ,gang bang
1503,gnight ,good night
1504,gnite ,good night
1505,gnn ,get naked now
1506,gno ,going to do
1507,gnoc ,get naked on cam
1508,gnos ,get naked on screen
1509,gnr ,Guns n' roses
1510,gnrn ,get naked right now
1511,gnst ,goodnight sleep tight
1512,gnstdltbbb ,good night sleep tight don't let the bed bugs bite
1513,goc ,get on camera
1514,goi ,get over it 
1515,goia ,get over it already
1516,goin ,going
1517,gok ,God Only Knows
1518,gokid ,got observers - keep it decent
1519,gokw ,God Only Knows Why
1520,gol ,giggle out loud
1521,gomb ,get off my back
1522,goml ,get out of my life
1523,gona ,Gonna
1524,gonna ,going to
1525,good9 ,goodnite
1526,gooh ,get out of here!
1527,goomh ,get out of my head
1528,gork ,God only really knows
1529,gosad ,go suck a d**k
1530,gotc ,get on the computer
1531,gotcha ,got you
1532,gotta ,got to
1533,gow ,gears of war
1534,goya ,Get Off Your Ass
1535,goyhh ,get off your high horse
1536,gp ,good point
1537,gpb ,gotta pee bad
1538,gpwm ,good point well made
1539,gpytfaht ,gladly pay you tuesday for a hamburger today
1540,gr8 ,great
1541,gr8t ,great
1542,grats ,congratulations
1543,gratz ,congratulations
1544,grfx ,graphics
1545,grillz ,metal teeth
1546,grl ,girl
1547,grmbl ,grumble
1548,grog ,beer
1549,grrl ,Girl
1550,grtg ,Getting ready to go
1551,grvy ,groovy
1552,gsad ,go suck a d**k
1553,gsave ,global struggle against violent extremists
1554,gsd ,getting s**t done
1555,gsfg ,Go search f**king google
1556,gsi ,go suck it
1557,gsoh ,Good Sense of Humor
1558,gsp ,get some p***y
1559,gsta ,Gangster
1560,gt ,get
1561,gta ,Grand Theft Auto
1562,gtas ,go take a s**t
1563,gtb ,Go To Bed
1564,gtf ,get the f**k
1565,gtfa ,Go The f**k Away
1566,gtfbtw ,get the f**k back to work
1567,gtfh ,go to f**king hell
1568,gtfo ,get the f**k out
1569,gtfoi ,get the f**k over it
1570,gtfon ,Get the f**k out noob
1571,gtfooh ,get the f**k out of here
1572,gtfoomf ,get the f**k out of my face
1573,gtfu ,grow the f**k up
1574,gtfuotb ,get the f**k up out this b***h
1575,gtg ,got to go
1576,gtgb ,got to go bye
1577,gtgbb ,got to go bye bye
1578,gtgfn ,got to go for now
1579,gtglyb ,got to go love you bye
1580,gtgmmiloms ,got to go my mum is looking over my shoulder
1581,gtgn ,got to go now
1582,gtgp ,got to go pee
1583,gtgpp ,got to go pee pee
1584,gtgtb ,got to go to bed
1585,gtgtpirio ,got to go the price is right is on
1586,gtgtwn ,Got to go to work now
1587,gth ,go to hell
1588,gtha ,go the hell away
1589,gthb ,go to hell b***h
1590,gthmf ,go to hell mothaf**ka
1591,gtho ,get the hell out
1592,gthu ,grow the heck up
1593,gthyfah ,go to hell you f**king a**h**e
1594,gtk ,good to know
1595,gtm ,giggling to myself
1596,gtn ,getting
1597,gtp ,Got to pee
1598,gtr ,Got to run
1599,gts ,going to school
1600,gtsy ,good to see you
1601,gttp ,get to the point
1602,gtty ,good talking to you
1603,gu ,grow up
1604,gu2i ,get used to it 
1605,gud ,good
1606,gudd ,good
1607,gui ,graphical user interface
1608,gurl ,girl
1609,gurlz ,girls
1610,guru ,expert
1611,gw ,good work
1612,gwijd ,guess what i just did
1613,gwm ,gay white male
1614,gwork ,good work
1615,gwrk ,good work
1616,gws ,get well soon
1617,gwytose ,go waste your time on someone else
1618,gy ,gay
1619,gyal ,girl
1620,gypo ,Get Your Penis Out
1621,h&k ,hugs and kisses
1622,h*r ,homestar runner
1623,h+k ,hugs and kisses
1624,h.o ,hold on
1625,h/e ,However
1626,h/mo ,homo
1627,h/o ,hold on
1628,h/u ,hold up
1629,h/w ,homework
1630,h2 ,Halo 2
1631,h2gtb ,have to go to the bathroom
1632,h2o ,water
1633,h2sys ,hope to see you soon
1634,h3y ,hey
1635,h4kz0r5 ,hackers
1636,h4x ,Hacks
1637,h4x0r ,hacker
1638,h4xor ,hacker
1639,h4xr ,hacker
1640,h4xrz ,hackers
1641,h4xx0rz ,hacker
1642,h4xxor ,hacker
1643,h8 ,hate
1644,h80r ,hater
1645,h82sit ,hate to say it
1646,h83r ,hater
1647,h8ed ,hated
1648,h8er ,hater
1649,h8r ,hater
1650,h8red ,Hatred
1651,h8s ,hates
1652,h8t ,hate
1653,h8t0r ,hater
1654,h8t3r ,hater
1655,h8te ,hate
1656,h8ter ,hater
1657,h8tr ,hater
1658,h8u ,I Hate You
1659,h9 ,Husband in Room
1660,h@x0r ,Hacker
1661,habt ,how about this
1662,hafta ,have to
1663,hagd ,have a good day
1664,hagl ,have a great life
1665,hagn ,have a good night
1666,hago ,have a good one
1667,hags ,have a great summer
1668,hai ,hello
1669,hait ,hate
1670,hak ,here's a kiss
1671,hakas ,have a kick ass summer
1672,hammrd ,hammered
1673,han ,how about now
1674,hau ,How Are You
1675,hav ,have
1676,havnt ,haven't
1677,hawf ,Husband and Wife forever
1678,hawt ,hot
1679,hawtie ,hottie
1680,hax ,Hacks
1681,hax0r ,hacker
1682,hax0red ,hacked
1683,hax0rz ,Hackers
1684,haxer ,Hacker
1685,haxor ,hacker
1686,haxoring ,hacking
1687,haxors ,hackers
1688,haxorz ,hackers
1689,haxxor ,hacker
1690,haxxzor ,Hacker
1691,haxz0r ,Hacker
1692,haxzor ,hacker
1693,hayd ,how are you doing
1694,hb ,hurry back
1695,hb4b ,hoes before bros
1696,hbd ,happy birthday
1697,hbic ,head b***h in charge
1698,hbii ,how big is it
1699,hbu ,how about you
1700,hbuf ,how about your family
1701,hby ,how about you
1702,hc ,how come
1703,hcbt1 ,he could be the one
1704,hcib ,how can it be
1705,hcihy ,how can I help you
1706,hdop ,Help Delete Online Predators
1707,hdu ,how dare you
1708,hdydi ,How do you do it
1709,hdydt ,how did you do that
1710,heh ,haha
1711,hella ,very
1712,heya ,hey
1713,heyt ,hate
1714,heyy ,hello
1715,heyya ,hello
1716,hf ,have fun
1717,hfn ,Hell f**king no
1718,hfs ,holy f**king s**t!
1719,hfsbm ,holy f**king s**t batman
1720,hfwt ,have fun with that
1721,hg ,HockeyGod
1722,hght ,height
1723,hhiad ,holy hole in a doughnut
1724,hhiadb ,Holy Hole in a Donut Batman
1725,hhok ,Ha Ha Only Kidding
1726,hhyb ,how have you been
1727,hi2u ,hello
1728,hi2u2 ,hello to you too
1729,hiet ,height
1730,hiik ,Hell If I Know
1731,hijack ,start an off topic discussion
1732,hith ,how in the hell
1733,hiw ,husband is watching
1734,hiya ,hello 
1735,hiybbprqag ,copying somebody else's search results
1736,hj ,hand job
1737,hl ,Half-Life
1738,hl2 ,Half-Life 2
1739,hla ,Hot lesbian action
1740,hlb ,horny little b*****d
1741,hld ,hold
1742,hldn ,hold on
1743,hldon ,hold on
1744,hll ,Hell
1745,hlm ,he loves me
1746,hlo ,hello
1747,hlp ,help
1748,hly ,holy
1749,hlysht ,Holy s**t
1750,hmb ,hold me back
1751,hmewrk ,homework
1752,hmfic ,head mother f**ker in charge
1753,hml ,hate my life
1754,hmoj ,holy mother of jesus
1755,hmp ,help me please
1756,hmu ,Hit Me Up
1757,hmul ,Hit me up later
1758,hmus ,Hit me up sometime
1759,hmw ,homework
1760,hmwk ,homework
1761,hmwrk ,Homework
1762,hng ,horny net geek
1763,hngry ,hungry
1764,hnic ,head n****r in charge
1765,ho ,hold on
1766,hoas ,Hang on a second
1767,hoay ,how old are you
1768,hodl ,hold
1769,hoh ,head of household
1770,hom ,home
1771,homey ,Friend
1772,homie ,good friend
1773,homo ,homosexual
1774,hoopty ,broke down automobile
1775,hott ,hot
1776,howdey ,hello
1777,howz ,hows
1778,hpb ,high ping b*****d
1779,hpoa ,Hot Piece of Ass
1780,hppy ,Happy
1781,hpy ,happy
1782,hpybdy ,happy birthday
1783,hr ,hour
1784,hre ,here
1785,hrny ,horny
1786,hrs ,hours
1787,hru ,how are you
1788,hrud ,how are you doing
1789,hruf ,how are you friend
1790,hs ,headshot
1791,hsd ,high school dropout
1792,hsik ,how should i know
1793,hsr ,homestar runner
1794,hss ,horse s**t and splinters
1795,hswm ,Have Sex With me
1796,ht ,Heard Through
1797,htc ,hit the cell
1798,htf ,how the f**k
1799,htfu ,Hurry the f**k up
1800,htg ,have to go
1801,hth ,hope that helps
1802,hthu ,Hurry the hell up
1803,htr ,hater
1804,http ,hyper text transfer protocol
1805,hu ,Hey you
1806,hubby ,husband
1807,hud ,Heads Up Display
1808,huggle ,hug and cuddle
1809,hugz ,hugs
1810,hun ,honey
1811,hv ,have
1812,hve ,have
1813,hvnt ,haven't
1814,hw ,homework
1815,hw/hw ,help me with homework 
1816,hwg ,here we go
1817,hwga ,here we go again
1818,hwik ,how would i know
1819,hwk ,homework
1820,hwmbo ,he who must be obeyed
1821,hwmnbn ,he who must not be named
1822,hwms ,hot wild monkey sex
1823,hwu ,hey what's up
1824,hwz ,how is
1825,hxc ,hardcore
1826,hy ,hell yeah
1827,hyb ,how you been
1828,hyg ,here you go
1829,hyk ,how you know
1830,i <3 u ,I love you
1831,i c ,i see
1832,i8 ,alright
1833,i8u ,i hate you
1834,i<3 u ,i love you
1835,i<3u ,I love you
1836,iab ,I Am Bored
1837,iafh ,I Am f**king Hot
1838,iafi ,I am from India
1839,iag ,it's all good
1840,iah ,i am horny
1841,iai ,i am interested
1842,iajsn ,I am just scraping noslang.com
1843,ianabs ,I am not a brain surgeon
1844,ianacl ,I am not a copyright lawyer
1845,ianal ,I am not a lawyer
1846,ianalb ,"I am not a lawyer, but.."
1847,ianars ,I am not a rocket scientist
1848,ians ,I am Not Sure
1849,ianyl ,I am not your lawyer
1850,iap ,I Am Pissed
1851,iasb ,i am so bored
1852,iaspfm ,"i am sorry please forgive
me"
1853,iatb ,I am the best
1854,iateu ,i hate you
1855,iavb ,i am very bored
1856,iaw ,In Another Window
1857,iawtc ,I agree with this comment
1858,iawtp ,I agree with this post
1859,iawy ,I agree with you
1860,ib ,I'm back
1861,ibbl ,I'll be back later
1862,ibcd ,Idiot between chair & desk
1863,ibs ,Internet b***h Slap 
1864,ibt ,I'll be there
1865,ibtl ,In Before The Lock
1866,ibw ,I'll be waiting
1867,ic ,I see
1868,icb ,I can't believe
1869,icbi ,i can't believe it
1870,icbiwoop ,"I chuckled, but it was out of pity."
1871,icbt ,i can't believe that
1872,icbu ,I can't believe you
1873,icbyst ,i cant believe you said that
1874,iccl ,I could care less
1875,icgup ,I can give you pleasure
1876,icic ,I See. I See
1877,icp ,insane clown posse
1878,icr ,I can't rememer
1879,icsrg ,I can still reach Google
1880,ictrn ,I can't talk right now
1881,icty ,i can't tell you 
1882,icu ,i see you
1883,icudk ,in case you didn't know
1884,icup ,i see you pee
1885,icw ,I care why?
1886,icwudt ,I see what you did there
1887,icwum ,I see what you mean
1888,icydk ,in csae you didn't know
1889,icydn ,in case you didn't know
1890,icymi ,in case you missed it
1891,id10t ,idiot
1892,idac ,I don't actually care
1893,idak ,i don't actually know
1894,idbtwdsat ,I don't believe they would do such a thing
1895,idby ,I Don't Believe You
1896,idc ,I don't care
1897,iddi ,I didn't do it
1898,idec ,I don't even care
1899,idek , I don't even know
1900,idfc ,i don't f**king care
1901,idfk ,i don't f**king know
1902,idfts ,I don't f**king think so
1903,idgac ,i don't give a crap
1904,idgad ,I don't give a damn
1905,idgaf ,i don't give a f**k
1906,idgaff ,I don't give a flying f**k
1907,idgafs ,I don't give a f**king s**t
1908,idgara ,I don't give a rat's ass
1909,idgas ,i don't give a s**t
1910,idgi ,I don't get it
1911,idjit ,idiot
1912,idk ,I don't know
1913,idkbibt ,I don't know but I've Been Told
1914,idke ,I don't know ethier
1915,idkh ,I don't know how
1916,idkh2s ,i don't know how to spell
1917,idkt ,I don't know that
1918,idkw ,I don't know why
1919,idkwiwdwu ,I don't know what I would do without you
1920,idkwts ,I don't know what to say
1921,idkwurta ,I don't know what you are talking about.
1922,idkwym ,I don't know what you mean
1923,idky ,I don't know you
1924,idkyb ,i don't know why but
1925,idkymb2 ,I didn't know yoru mom blogs too
1926,idl ,I don't like
1927,idli ,I don't like it
1928,idlu ,i don't like you
1929,idly ,I don't like you
1930,idlyitw ,i don't like you in that way
1931,idm ,I don't mind
1932,idmhw ,im doing my homework
1933,idn ,i don't know
1934,idnk ,i don't know
1935,idno ,i do not know
1936,idntk ,i dont need to know
1937,idnwths ,i do not want to have sex
1938,idonno ,i do not know
1939,idop ,it depends on price
1940,idot ,idiot
1941,idr ,I don't remember
1942,idrc ,i don't really care
1943,idrfk ,I don't really f**king know
1944,idrgaf ,I don't really give a f**k
1945,idrgaff ,i don't really give a flying f**k
1946,idrk ,i don't really know
1947,idrts ,I don't really think so
1948,idsw ,i don't see why
1949,idtis ,I don't think I should
1950,idtkso ,i don't think so
1951,idts ,i don't think so
1952,idu ,I don't understand
1953,idunno ,i do not know
1954,iduwym ,I don't understand what you mean.
1955,idw2 ,I don't want to
1956,idw2n ,i don't want to know
1957,idwk ,I don't wanna know
1958,idwt ,i don't want to
1959,idwtg ,I don't want to go
1960,idyat ,idiot
1961,iebkac ,issue exists between keyboard and chair
1962,ietf ,internet engineering task force
1963,iff ,if and only if
1964,ifhu ,I f**king hate you
1965,ifhy ,i f**king hate you
1966,ifk ,I f**king know
1967,iflu ,i f**king love you
1968,ifthtb ,i find that hard to belive
1969,ifttt ,if this then that 
1970,ifwis ,I forgot what I said
1971,ig ,I guess
1972,ig2g ,I got to go
1973,ig5oi ,I got 5 on it 
1974,igahp ,I've got a huge penis
1975,igalboc ,I've got a lovely bunch of cocnuts
1976,igg ,i gotta go
1977,ight ,alright
1978,igkymfa ,I'm gonna kick your mother f**king ass
1979,igs ,I guess so
1980,igt ,I Got This
1981,igtg ,i've got to go
1982,igtgt ,I got to go tinkle
1983,igtkya ,im going to kick your ass
1984,igu ,i give up
1985,igyb ,I Got Your Back
1986,ih ,it happens
1987,ih2gp ,I have to go pee
1988,ih2p ,i'll have to pass
1989,ih8 ,i hate
1990,ih8evry1 ,i hate everyone
1991,ih8mls ,I hate my little sister 
1992,ih8p ,I hate parents
1993,ih8tu ,i hate you
1994,ih8u ,I hate you
1995,ih8usm ,i hate you so much
1996,ih8y ,I hate you
1997,ihac ,I have a customer
1998,ihat3u ,I hate you
1999,ihistr ,i hope i spelled that right
2000,ihiwydt ,I hate it when you do that
2001,ihml ,I hate my life
2002,ihmp ,i hate my parents
2003,ihnc ,i have no clue
2004,ihnfc ,I have no f**king clue
2005,ihni ,i have no idea
2006,iht ,I heard that
2007,ihtfp ,I hate this f**king place
2008,ihtgttbwijd ,"I have to go to the bathroom, wait I just did."
2009,ihtp ,I Have To Poop
2010,ihtsm ,i hate this so much
